joueur;equipe;poste;numero;buts;passes;plusMinus;tirs;totalPoints
Sebastian Aho;Hurricanes de la Caroline;Centre;20;0;0;0;0;0
Matt Boldy;Wild du Minnesota;Aile Gauche;12;0;0;0;0;0
Leo Carlsson;Ducks d'Anaheim;Centre;91;0;0;0;0;0
Cole Caufield;Canadiens de Montréal;Aile Droite;13;0;0;0;0;0
Sidney Crosby;Penguins de Pittsburgh;Centre;87;0;0;0;0;0
Rasmus Dahlin;Sabres de Buffalo;Defenseur;26;0;0;0;0;0
Jack Eichel;Golden Knights de Vegas;Centre;9;0;0;0;0;0
Taylor Hall;Hurricanes de la Caroline;Aile Gauche;71;0;0;0;0;0
Quinn Hughes;Wild du Minnesota;Defenseur;43;0;0;0;0;0
Lane Hutson;Canadiens de Montréal;Defenseur;48;0;0;0;0;0
Kirill Kaprizov;Wild du Minnesota;Aile Gauche;97;0;0;0;0;0
Nikita Kucherov;Lightning de Tampa Bay;Aile Droite;86;0;0;0;0;0
Nathan MacKinnon;Avalanche du Colorado;Centre;27;0;0;0;0;0
Cale Makar;Avalanche du Colorado;Defenseur;29;0;0;0;0;0
Mitch Marner;Golden Knights de Vegas;Aile Droite;93;0;0;0;0;0
Connor McDavid;Oilers d'Edmonton;Centre;97;0;0;0;0;0
Martin Necas;Avalanche du Colorado;Centre;88;0;0;0;0;0
David Pastrnak;Bruins de Boston;Aile Droite;88;0;0;0;0;0
Mikko Rantanen;Stars de Dallas;Aile Droite;96;0;0;0;0;0
Logan Stankoven;Hurricanes de la Caroline;Centre;22;0;0;0;0;0
Nick Suzuki;Canadiens de Montréal;Centre;14;0;0;0;0;0
Tage Thompson;Sabres de Buffalo;Aile Droite;72;0;0;0;0;0
